Item	Bezeichnung	ist ein	lat	lon	Straße
Q2551785	Wasserturm Hamburg-Ochsenzoll	Wasserturm	53.67247222	10.01097222	
Q1558081	Gymnasium Bornbrook	Schulgebäude	53.50777778	10.19472222	Schulenburgring 4
Q83633421	Adolph-Schönfelder-Schule	Schulgebäude	53.57803	10.04752	Zeisigstraße 3
Q19601667	Bahnhof Schnelsen	Bahnhof	53.634468	9.906561	
Q15834412	Matthias-Claudius-Kirche	Kirchengebäude	53.60883331	10.1404171	
Q1572930	HSBA Hamburg School of Business Administration	Business School	53.54998	9.98954	
Q94696233	Stadtteilschule Finkenwerder	Schulgebäude	53.53213	9.87541	Norderschulweg 14
Q113529351		Umspann- oder Schaltanlage	53.573798371952925	10.102497339248659	
Q305682	Abaton	Kino	53.56777778	9.98194444	Grindelhof, Allendeplatz 3, 20146 Hamburg
Q22320757	Haus Goldener Schwan (Hamburg)	Gebäude	53.557	9.98897	
Q76633440	Deutsches Maler- und Lackierermuseum	Landhaus	53.520267	10.119644	Billwerder Billdeich 72, 22113 Hamburg
Q102809670	Schule Francoper Straße	Schulgebäude	53.47491	9.86491	Francoper Straße 32
Q98608629	Ansgarkirche (Hamburg-Othmarschen)	Kirchengebäude	53.54959	9.90821	
Q28978934	Franziskanerkloster Hamburg	religiöse Gemeinschaft	53.56783	10.0365	
Q1014710	Burg auf dem Süllberg	Burg	53.55964999	9.80086148	
Q16220502	Bahnhof Rissen	S-Bahnstation	53.58316	9.75725	Am Rissener Bahnhof 1
Q456499	Thalia Theater	Theatergebäude	53.55197222	9.99827778	
Q98813571	Schule Hermannstal	Schulgebäude	53.55017	10.09529	Hermannstal 82
Q18629237	Mittelweg 185	Gebäude	53.563197	9.9948	
Q1500917	Rundfunksender Hamburg-Rahlstedt	Rundfunksender	53.626039	10.196094	
Q15851862	U-Bahnhof Langenhorn Nord	U-Bahnhof	53.6608	10.0175	
Q105836264	Schule Reinbeker Redder	Schulgebäude	53.51196	10.2056	Reinbeker Redder 274
Q627411	Arbeitserziehungslager Hamburg Langer Morgen	Arbeitserziehungslager	53.50222222	9.96194444	
Q2465828	U-Bahnhof Alter Teichweg	U-Bahnhof	53.58666667	10.06444444	
Q1821452	Leuchtturm Oberfeuer Bubendey-Ufer	Leuchtturm	53.53717	9.90078	
Q69417765	Casino de Paris	ehemalige Entität	53.55007	9.96602	
Q106188068	Saseler Straße 21	Schule	53.62342	10.16306	Saseler Straße 21
Q2411082	The English Theatre of Hamburg	Theatergebäude	53.56930556	10.02863889	
