Item	Bezeichnung	ist ein	lat	lon	Straße
Q1602776	Museumshafen Oevelgönne	Museumshafen	53.54361111	9.91416667	
Q1763828	Reisners Ballsäle	Mehrzweckhalle	53.57196	10.06962	
Q285852	Freiwillige Feuerwehr Billstedt-Horn	Freiwillige Feuerwehr	53.55669	10.10186	Bergmannring 4
Q174814	Umspannwerk Neuhof	Umspann- oder Schaltanlage	53.515833333333	9.9616666666667	
Q2354973	Deichtortunnel	Straßentunnel	53.547778	10.005556	
Q1244442	August-Hermann-Francke-Schule Berne	Schulgebäude	53.62896	10.13334	Berner Allee 20 a
Q1244442	Alte Schule Billwerder	Schulgebäude	53.50621	10.15971	Billwerder Billdeich 424
Q622425	Gruenspan	Nachtclub	53.551728	9.958178	
Q34627	Israelitischer Tempel Poolstraße	Synagoge	53.55416667	9.98055556	
Q1244442	Gymnasium Finkenwerder	Schulgebäude	53.53256	9.87373	Norderschulweg 18
Q1244442	Schule An der Glinder Au	Schulgebäude	53.53357	10.13079	Sonnenland 27, 22115 Hamburg
Q746369	Rolf-Liebermann-Studio	Tonstudio	53.5772922	9.9912985	
Q41176	Mittelweg 185	Gebäude	53.563197	9.9948	
Q1793804	Bahnhof Hamburg-Wilhelmsburg	S-Bahnstation	53.498889	10.006944	Wilhelm-Strauss-Weg 1
Q1244442	Schule Marmstorf	Schulgebäude	53.43852	9.96397	Ernst-Bergeest-Weg 54
Q1793804	Bahnhof Hochkamp	S-Bahnstation	53.561111	9.841944	Reichskanzlerstraße 1
Q55488	Bahnhof Hörgensweg	Bahnhof	53.617118	9.903541	
Q1244442	Schule Am Soldatenfriedhof	Schulgebäude	53.46272	9.97622	Am Soldatenfriedhof 21
Q492425	Containerterminal Burchardkai	Containerterminal	53.53388	9.919109	
Q16917	Altonaer Kinderkrankenhaus	Krankenhaus	53.55287278	9.91348056	
Q1783234	Kontorhaus Hansaburg	Kontorhaus	53.545277777778	9.9936111111111	
Q24354	Monsun-Theater	Theatergebäude	53.5549202	9.92768955	
Q328468	Konzentrationslager Neuengamme	NS-Konzentrationslager	53.427413	10.226254	
Q1244442	Schule Fährstraße	Schulgebäude	53.51663	9.981	Fährstraße 90
Q1793804	Bahnhof Mittlerer Landweg	S-Bahnstation	53.497777777778	10.131666666667	Mittlerer Landweg 63
Q389959	Rundbunker Schwarzenbergstraße	Luftschutzbunker	53.46276	9.97503	Schwarzenbergstraße 50-54
Q1228895	Front	Diskothek	53.55083333	10.02583333	
Q1244442	Schule Friedrichstraße	Schulgebäude	53.54733	9.95884	Friedrichstraße 55
Q1244442	Stapelfelder Straße 7	Schulgebäude	53.60588	10.1688	Stapelfelder Straße 7
Q1137809	Internationaler Seegerichtshof	Gerichtsgebäude	53.551111111111	9.8508333333333	
Q34627	Schewes Achim	Synagoge	53.572355	10.039417	
Q39715	Ellerholz Unterfeuer	Leuchtturm	53.4957783	9.9445288	
Q1244442	Schule Querkamp	Schulgebäude	53.55623	10.10354	Querkamp 68
Q240854	Soul Kitchen	Halle	53.512209	9.982679	
Q39715	Leuchtturm Tinsdal	Leuchtturm	53.56611111	9.74	
Q1244442	Schule Schulbergredder 13	Schulgebäude	53.65748	10.08144	
Q1497364	Kapstadtring 2 und 4	Gebäudekomplex	53.60138888888889	10.029166666666667	
Q1244442	Schule Scheeßeler Kehre	Schulgebäude	53.42669	9.98713	Scheeßeler Kehre 2
Q16970	St. Johannis	Kirchengebäude	53.45777778	9.98111111	
Q1244442	Schule Rönnkamp	Schulgebäude	53.64681	9.91951	Rönnkamp 3
Q1698619	Altonaer Theater	Schauspielhaus	53.54896389	9.93436667	Museumstraße 17, 22765 Hamburg
Q1244442	Holstenwall 16, 17	Schulgebäude	53.55126	9.97503	Holstenwall 16, 17
Q15893266	Casino de Paris	ehemalige Entität	53.55007	9.96602	
Q1188673	Lessingtunnel	Unterführung	53.55583333333333	9.935277777777777	
Q157570	Altes Krematorium	Krematorium	53.6185277777778	10.0276388888889	
Q152081	KZ Hamburg (Stadthaus und Untersuchungsgefängnis)	Konzentrationslager	53.549999	10	
Q44782	O’Swaldkai	Hafen	53.531087	10.004868	
Q1793804	Bahnhof Rothenburgsort	S-Bahnstation	53.53841	10.04401	Billhorner Deich 77
Q30022	Café Gnosa	Café	53.558888888889	10.012777777778	
Q11755880	Grundwasserwerk Tonndorf	Wohngebäude	53.578837	10.107583	
Q492425	Containerterminal Tollerort	Containerterminal	53.533	9.948	
Q1329623	Honigfabrik	Kulturzentrum	53.51445278	9.982925	
Q41176	Haus Speersort 12/14	Gebäude	53.550063	9.99848	
Q1244442	Schule Wohlwillstraße	Schulgebäude	53.55529	9.96306	Wohlwillstraße 46
Q12341378	Zum Silbersack	Kneipe	53.5488627	9.95996475	Silbersackstraße 9, 20359 Hamburg
Q16970	St. Bruder Konrad	Kirchengebäude	53.59468	9.85312	Am Barls 238
Q16917	Asklepios Klinik Barmbek	Krankenhaus	53.605815	10.036853	
Q57303181	Norwegische Seemannskirche in Hamburg	Seefahrerkirche	53.54656	9.97709	
Q1302299	Jugendzentrum Vierlanden	Kinder- und Jugendfreizeiteinrichtung	53.41135	10.1537	Kirchwerder Elbdeich 276
Q1244442	Schule Schierenberg	Schulgebäude	53.62376	10.14787	Schierenberg 50
Q41176	Leinpfad 20	Gebäude	53.58246	9.99641	Leinpfad 20
Q159334	Stadtteilschule Bergstedt	weiterführende Schule	53.67193	10.13706	Volksdorfer Damm 218
Q1244442	Ochsenwerder Norderdeich 210	Schulgebäude	53.46666	10.11204	Ochsenwerder Norderdeich 210
Q1021645	Bürogebäude Saarlandstraße 30	Bürogebäude	53.58759	10.03383	Saarlandstraße 30
Q1244442	Schule Tonndorf	Schulgebäude	53.58705	10.13025	Rahlaukamp 1a
Q1244442	Schule Öjendorfer Damm	Schulgebäude	53.56783	10.13562	Öjendorfer Damm 8
Q1244442	Schule Rahmwerder Straße	Schulgebäude	53.51252	10.01978	Rahmwerder Straße 3
Q1868572	S-Bahn Werk Ohlsdorf	Lokomotivbahnhof	53.616072	10.03114	
Q1244442	Wartenau 15	Schulgebäude	53.5651	10.03295	Wartenau 15
Q1793804	Bahnhof Hasselbrook	S-Bahnstation	53.56472222	10.05583333	Hammer Steindamm 58, 22089 Hamburg
Q928830	U-Bahnhof Hellkamp	U-Bahnhof	53.579444	9.948889	
Q1244442	Schule Altonaer Straße	Schulgebäude	53.56426	9.96451	Altonaer Straße 38
Q41176	Alte Oberpostdirektion	Gebäude	53.55752	9.9873	
Q1244442	Schule Ahrensburger Weg	Schulgebäude	53.652	10.1703	Ahrensburger Weg 12
Q216107	Karstadt Mönckebergstraße	Warenhaus	53.551118	10	
Q44613	Dominikanerkloster St. Johannis (Hamburg)	Kloster	53.57963889	10.03480556	
Q622425	Docks	Nachtclub	53.54925	9.96452778	
Q285852	Freiwillige Feuerwehr Hausbruch	Freiwillige Feuerwehr	53.47218	9.87542	Rehrstieg 1
Q39364723	Hospitalstraße 109	Krankenhausgebäude	53.55646	9.94796	Hospitalstraße 109
Q928830	U-Bahnhof Hallerstraße	U-Bahnhof	53.57284444444444	9.988997222222222	
Q1021645	Dockland	Bürogebäude	53.54327778	9.93427778	
Q1244442	Schule Borchertring	Schulgebäude	53.61784	10.06167	
Q19860854	Kurbel am Berliner Tor	abgegangenes Bauwerk	53.55251	10.02007	Beim Strohhause 8, 20097 Hamburg
Q24354	The English Theatre of Hamburg	Theatergebäude	53.56930556	10.02863889	
Q1244442	Gymnasium Lohbrügge	Schulgebäude	53.50484	10.20745	Binnenfeldredder 5
Q159334	Julius-Leber-Schule	weiterführende Schule	53.62454	9.90385	Halstenbeker Straße 41
Q285852	Freiwillige Feuerwehr Spadenland	Freiwillige Feuerwehr	53.48636	10.05435	Ruschorter Hauptdeich 1
Q828909	Hamburg Cruise Center Steinwerder	Kai	53.529458	9.960379	Buchheisterstraße 16, 20457 Hamburg
Q1244442	Schule Brekelbaums Park 6	Schulgebäude	53.55368	10.03509	Brekelbaums Park 6
Q1244442	Schule Veermoor	Schulgebäude	53.60688	9.87528	Veermoor 4
Q16970	Kapernaumkirche (Hamburg-Horn)	Kirchengebäude	53.55638889	10.08138889	
Q1244442	Unterstufenhaus des Gymnasium Blankenese	Schulgebäude	53.561	9.80526	Kahlkamp 9
