Q106605756	Category:%C3%96jendorfer_Damm
Q106605757	Category:%C3%96jendorfer_H%C3%B6he
Q17353914	Category:%C3%96jendorfer_Park
Q248992	Category:%C3%96jendorfer_See
Q106605761	Category:%C3%96lm%C3%BChlenweg_(Hamburg)
Q18005265	Category:%C3%96stliche_Georgswerder_Wettern
Q18005267	Category:%C3%96stlicher_Bahnhofskanal
Q307515	Category:%C3%96velg%C3%B6nne
Q106605780	Category:%C3%96vern_Barg
Q106606025	Category:%C3%9Cberseeallee_(Hamburg)
Q106606026	Category:%C3%9Cberseeboulevard_(Hamburg)
Q333492	Category:%C3%9Cberseebr%C3%BCcke
Q333435	Category:%C3%9Cbersee-Club
Q333545	Category:%C3%9Cberseequartier
Q106606027	Category:%C3%9Cberseering
Q42231504	Category:%C3%9Cberseering_12
Q28005811	Category:%C3%9Cberseering_30
Q54918912	Category:%C3%9Cberseering_35
Q108750877	Category:%C3%9Cberseering_40
Q110551568	Category:%C3%9Cberseering_45_/_New-York-Ring_2
Q33695253	Category:2017_Hamburg_attack
Q36948990	Category:20th_Century_Press_Archives
Q11906952	Category:A%C3%9Fmannkanal
Q305682	Category:Abaton-Kino
Q60591836	Category:ABC-Stra%C3%9Fe
Q114808624	Category:Abendrothsweg
Q21040682	Category:Abendschule_St._Georg
Q106604832	Category:Abteistra%C3%9Fe_(Hamburg)
Q106604879	Category:Ackermannstra%C3%9Fe_(Hamburg)
Q106604880	Category:Adenauerallee_(Hamburg)
Q114808625	Category:Admiralit%C3%A4tstra%C3%9Fe
Q360628	Category:Adolf_von_Elm_Hof
Q360602	Category:Adolf-J%C3%A4ger-Kampfbahn
Q65894156	Category:Adolph-Diesterweg-Schule_(Hamburg)
Q83633421	Category:Adolph-Sch%C3%B6nfelder-Schule
Q106604881	Category:Adolph-Sch%C3%B6nfelder-Stra%C3%9Fe
Q379865	Category:Adventskirche_(Hamburg-Schnelsen)
Q106604882	Category:Agnesstra%C3%9Fe_(Hamburg)
Q109877868	Category:Agnesstra%C3%9Fe_1_(Hamburg)
Q106604884	Category:Ahrensburger_Stra%C3%9Fe_(Hamburg)
Q106604886	Category:Ahrensburger_Weg_(Hamburg)
Q663819	Category:Airbus-Werk_Hamburg-Finkenwerder
Q414150	Category:Akademie_der_Wissenschaften_in_Hamburg
Q19601669	Category:AKN_Eisenbahn_Station_Burgwedel
Q16220834	Category:AKN_Eisenbahn_Station_Eidelstedt_Zentrum
Q19601658	Category:AKN_Eisenbahn_Station_H%C3%B6rgensweg
Q19601667	Category:AKN_Eisenbahn_Station_Schnelsen
Q2637460	Category:Albert-Schweitzer-Gymnasium_(Hamburg)
Q78670034	Category:Albert-Schweitzer-Schule_(Hamburg)
Q34561228	Category:Albrecht-Thaer-Gymnasium
Q106604887	Category:Alexanderstra%C3%9Fe_(Hamburg)
Q2641613	Category:Alexander-von-Humboldt-Gymnasium_(Hamburg)
Q106604888	Category:Alfred-Johann-Levy-Stra%C3%9Fe
Q106604889	Category:Alfredstra%C3%9Fe_(Hamburg)
Q56035760	Category:Alfredstra%C3%9Fenbr%C3%BCcke
Q1275609	Category:Alleetheater_(Hamburg)
Q114289178	Category:Allegorische_Figur_(Schwerdtfeger_Heisig,_HH-Billstedt)
Q106604833	Category:Allende-Platz_(Hamburg)
Q2648548	Category:Allerheiligenkirche,_Hamburg-Hausbruch
Q106604890	Category:Allerm%C3%B6her_Deich
Q104175547	Category:Allerm%C3%B6her_Deich_105
Q109715078	Category:Allerm%C3%B6her_Deich_445
Q24325779	Category:Allerm%C3%B6her_See
Q28172563	Category:Allerm%C3%B6her_Wiesen
Q732023	Category:Allgemeines_Krankenhaus_Barmbek
Q106604891	Category:Alma-Wartenberg-Platz
Q51912	Category:Al-Quds_Mosque_Hamburg
Q114808626	Category:Alsenplatz_(Hamburg)
Q114808629	Category:Alsenstra%C3%9Fe_(Hamburg)
Q895601	Category:Alster_Northern_Railway
Q2651483	Category:Alsterarkaden
Q2651485	Category:Alster-Beste-Kanal
Q106604892	Category:Alsterchaussee
Q106604893	Category:Alsterdorfer_Stra%C3%9Fe
Q1614236	Category:Alsterfleet
Q2651496	Category:Alsterfontaine
Q106604894	Category:Alsterglacis
Q106604845	Category:Alsterkrugchaussee
Q110071974	Category:Alsterpark_(Gr%C3%BCnanlagen_rund_um_die_gestaute_Alster)
Q1632185	Category:Alsterring-Gymnasium
Q1314255	Category:Alstertal-Einkaufszentrum
Q106604895	Category:Alsterterrasse
Q50107677	Category:Alstertor
Q106604896	Category:Alstertwiete
Q106604897	Category:Alsterufer
Q110151777	Category:Alsterufer_27,_28
Q107762039	Category:Altbau_der_Staats-_und_Universit%C3%A4tsbibliothek_Hamburg
Q58808006	Category:Alte_Harburger_Elbbr%C3%BCcke
Q106604898	Category:Alte_Holstenstra%C3%9Fe
Q11905165	Category:Alte_Kollau
Q106604899	Category:Alte_Landstra%C3%9Fe_(Hamburg)
Q436055	Category:Alte_Oberfinanzdirektion_Hamburg
Q19964045	Category:Alte_Oberschulbeh%C3%B6rde
Q103483289	Category:Alte_Osterbek
Q436110	Category:Alte_Post_(Hamburg)
Q106604900	Category:Alte_Rabenstra%C3%9Fe
Q114808630	Category:Alte_Sieker_Landstra%C3%9Fe
Q76307211	Category:Alte_Sudpfanne,_Hamburg-St._Pauli
Q106604901	Category:Alte_W%C3%B6hr
Q106604902	Category:Altengammer_Elbdeich
Q28375610	Category:Altenwerder_Oberfeuer
Q28375608	Category:Altenwerder_Unterfeuer
Q106604903	Category:Alter_Berner_Weg_(Hamburg)
Q11679872	Category:Alter_Botanischer_Garten_Hamburg
Q437844	Category:Alter_Elbpark
Q460264	Category:Alter_Elbtunnel
Q43405943	Category:Alter_Fischmarkt_(Hamburg)
Q18616186	Category:Alter_Friedhof_Harburg
Q43812915	Category:Alter_Friedhof_Wandsbek
Q437953	Category:Alter_Hammer_Friedhof
Q98936639	Category:Alter_Jaarsmoorgraben
Q438118	Category:Alter_Niendorfer_Friedhof
Q106604904	Category:Alter_Postweg_(Hamburg)
Q106604906	Category:Alter_Steinweg_(Hamburg)
Q106604907	Category:Alter_Teichweg
Q438216	Category:Alter_Wall_(Hamburg)
Q104650747	Category:Alter_Wall_2_Hamburg
Q112183792	Category:Alter_Wall_38
Q106604908	Category:Alter_Wandrahm
Q439225	Category:Altes_Hafenamt,_Dalmannstra%C3%9Fe
Q47504016	Category:Altes_Krematorium_Hamburg-Alsterdorf
Q86440647	Category:Altes_Rathaus_Altona
Q26951150	Category:Altes_Zollhaus_(Hamburg-HafenCity)
