Q106605756	Öjendorfer_Damm
Q106605757	Öjendorfer_Höhe
Q17353914	Öjendorfer_Park
Q248992	Öjendorfer_See
Q106605761	Ölmühlenweg_(Hamburg)
Q18005265	Östliche_Georgswerder_Wettern
Q18005267	Östlicher_Bahnhofskanal
Q307515	Övelgönne
Q106605780	Övern_Barg
Q106606025	Überseeallee_(Hamburg)
Q106606026	Überseeboulevard_(Hamburg)
Q333492	Überseebrücke
Q333435	Übersee-Club
Q333545	Überseequartier
Q106606027	Überseering
Q42231504	Überseering_12
Q28005811	Überseering_30
Q54918912	Überseering_35
Q108750877	Überseering_40
Q110551568	Überseering_45_/_New-York-Ring_2
Q33695253	2017_Hamburg_attack
Q36948990	20th_Century_Press_Archives
Q11906952	Aßmannkanal
Q305682	Abaton-Kino
Q60591836	ABC-Straße
Q114808624	Abendrothsweg
Q21040682	Abendschule_St._Georg
Q106604832	Abteistraße_(Hamburg)
Q106604879	Ackermannstraße_(Hamburg)
Q106604880	Adenauerallee_(Hamburg)
Q114808625	Admiralitätstraße
Q360628	Adolf_von_Elm_Hof
Q360602	Adolf-Jäger-Kampfbahn
Q65894156	Adolph-Diesterweg-Schule_(Hamburg)
Q83633421	Adolph-Schönfelder-Schule
Q106604881	Adolph-Schönfelder-Straße
Q379865	Adventskirche_(Hamburg-Schnelsen)
Q106604882	Agnesstraße_(Hamburg)
Q109877868	Agnesstraße_1_(Hamburg)
Q106604884	Ahrensburger_Straße_(Hamburg)
Q106604886	Ahrensburger_Weg_(Hamburg)
Q663819	Airbus-Werk_Hamburg-Finkenwerder
Q414150	Akademie_der_Wissenschaften_in_Hamburg
Q19601669	AKN_Eisenbahn_Station_Burgwedel
Q16220834	AKN_Eisenbahn_Station_Eidelstedt_Zentrum
Q19601658	AKN_Eisenbahn_Station_Hörgensweg
Q19601667	AKN_Eisenbahn_Station_Schnelsen
Q2637460	Albert-Schweitzer-Gymnasium_(Hamburg)
Q78670034	Albert-Schweitzer-Schule_(Hamburg)
Q34561228	Albrecht-Thaer-Gymnasium
Q106604887	Alexanderstraße_(Hamburg)
Q2641613	Alexander-von-Humboldt-Gymnasium_(Hamburg)
Q106604888	Alfred-Johann-Levy-Straße
Q106604889	Alfredstraße_(Hamburg)
Q56035760	Alfredstraßenbrücke
Q1275609	Alleetheater_(Hamburg)
Q114289178	Allegorische_Figur_(Schwerdtfeger_Heisig,_HH-Billstedt)
Q106604833	Allende-Platz_(Hamburg)
Q2648548	Allerheiligenkirche,_Hamburg-Hausbruch
Q106604890	Allermöher_Deich
Q104175547	Allermöher_Deich_105
Q109715078	Allermöher_Deich_445
Q24325779	Allermöher_See
Q28172563	Allermöher_Wiesen
