Q106605756	Öjendorfer Damm
Q106605757	Öjendorfer Höhe
Q17353914	Öjendorfer Park
Q248992	Öjendorfer See
Q106605761	Ölmühlenweg (Hamburg)
Q18005265	Östliche Georgswerder Wettern
Q18005267	Östlicher Bahnhofskanal
Q307515	Övelgönne
Q106605780	Övern Barg
Q106606025	Überseeallee (Hamburg)
Q106606026	Überseeboulevard (Hamburg)
Q333492	Überseebrücke
Q333435	Übersee-Club
Q333545	Überseequartier
Q106606027	Überseering
Q42231504	Überseering 12
Q28005811	Überseering 30
Q54918912	Überseering 35
Q108750877	Überseering 40
Q110551568	Überseering 45 / New-York-Ring 2
Q33695253	2017 Hamburg attack
Q36948990	20th Century Press Archives
Q11906952	Aßmannkanal
Q305682	Abaton-Kino
Q60591836	ABC-Straße
Q114808624	Abendrothsweg
Q21040682	Abendschule St. Georg
Q106604832	Abteistraße (Hamburg)
Q106604879	Ackermannstraße (Hamburg)
Q106604880	Adenauerallee (Hamburg)
Q114808625	Admiralitätstraße
Q360628	Adolf von Elm Hof
Q360602	Adolf-Jäger-Kampfbahn
Q65894156	Adolph-Diesterweg-Schule (Hamburg)
Q83633421	Adolph-Schönfelder-Schule
Q106604881	Adolph-Schönfelder-Straße
Q379865	Adventskirche (Hamburg-Schnelsen)
Q106604882	Agnesstraße (Hamburg)
Q109877868	Agnesstraße 1 (Hamburg)
Q106604884	Ahrensburger Straße (Hamburg)
Q106604886	Ahrensburger Weg (Hamburg)
Q663819	Airbus-Werk Hamburg-Finkenwerder
Q414150	Akademie der Wissenschaften in Hamburg
Q19601669	AKN Eisenbahn Station Burgwedel
Q16220834	AKN Eisenbahn Station Eidelstedt Zentrum
Q19601658	AKN Eisenbahn Station Hörgensweg
Q19601667	AKN Eisenbahn Station Schnelsen
Q2637460	Albert-Schweitzer-Gymnasium (Hamburg)
Q78670034	Albert-Schweitzer-Schule (Hamburg)
Q34561228	Albrecht-Thaer-Gymnasium
Q106604887	Alexanderstraße (Hamburg)
Q2641613	Alexander-von-Humboldt-Gymnasium (Hamburg)
Q106604888	Alfred-Johann-Levy-Straße
Q106604889	Alfredstraße (Hamburg)
Q56035760	Alfredstraßenbrücke
Q1275609	Alleetheater (Hamburg)
Q114289178	Allegorische Figur (Schwerdtfeger Heisig, HH-Billstedt)
Q106604833	Allende-Platz (Hamburg)
Q2648548	Allerheiligenkirche, Hamburg-Hausbruch
Q106604890	Allermöher Deich
Q104175547	Allermöher Deich 105
Q109715078	Allermöher Deich 445
Q24325779	Allermöher See
Q28172563	Allermöher Wiesen
Q732023	Allgemeines Krankenhaus Barmbek
Q106604891	Alma-Wartenberg-Platz
Q51912	Al-Quds Mosque Hamburg
