Wikidata Item	DSH-ID
Q100724886	12484
Q101010584	25990
Q101076116	29839
Q101843230	25977
Q104151027	12071
Q104175547	29732
Q104650747	11979
Q105101676	15242
Q105103286	16430
Q105164959	15588
Q105170728	15606
Q105333789	15590
Q105363380	15243
Q105682403	19143
Q105682996	29508
Q105818029	27751
Q106382358	14776
Q106464944	11817
Q106485367	16893
Q106488984	16927
Q106489986	30405
Q106604972	29948
Q106611695	26393
Q106640704	26223
Q106678124	38984
Q106685145	30444
Q106704959	30423
Q1067082	24549
Q106777438	27911
Q106832145	16832
Q106832769	16117
Q106832812	15466
Q106857273	17456
Q106857351	15620
Q106943857	29850
Q106980761	12373
Q107120652	20074
Q107120659	20062
Q107120660	20049
Q107120665	20073
Q107120669	20054
Q107120671	20052
Q107120675	20066
Q107120677	20051
Q107120678	16397
Q107120681	20065
Q107120684	20077
Q107120685	20056
Q107161972	12482
Q107390284	18171
Q107428527	25170
Q107453872	27968
Q107487692	16092
Q107587949	20087
Q107659584	25414
Q108105466	26840
Q108250585	28679
Q1082972	29245
Q108486639	22285
Q108566761	29282
Q108566766	28455
Q108566782	17893
Q108566793	29470
Q108566812	12874
Q108566820	25451
Q1087331	29642
Q108750877	22054
Q108889061	30411
Q109347064	27677
Q109600947	27173
Q109638810	25982
Q109639242	27668
Q109715078	27673
Q109719034	31208
Q109727683	18120
Q109771339	14241
Q110153037	12621
Q110205964	18199
Q110206015	24574
Q110226251	27926
Q110474042	44403
Q110598500	29713
Q110627878	29836
Q110947678	12774
Q111671128	13651
Q111746891	22314
Q111842998	29443
Q111964585	16703
Q112826224	21864
Q113412871	12064
Q113455861	11814
Q113455899	11815
Q113455988	11816
Q113827388	13018
Q114042	13167
Q114438567	30476
Q1144577	19131
Q114773784	11820
Q11679872	12097
Q11722101	26215
Q1177761	13538
Q1183156	11833
Q11909931	44192
Q11925994	44719
Q11926692	44190
Q1224792	28188
Q1229183	29188
Q1242602	44151
Q126971	15412
Q1297111	18198
Q1316857	23253
Q1321149	17466
Q1325319	12628
Q1332023	13837
Q1342586	12304
Q1353719	14151
Q1355744	13138
Q1388709	44202
Q1414486	16158
Q1418221	12656
Q1422053	29565
Q1452652	15219
Q1454260	13384
Q1455043	25974
Q14551330	29728
Q1467541	12943
Q15129004	12471
Q15129057	12027
Q1518034	25179
Q1531643	14919
Q1546956	30688
Q1547632	11766
Q1558106	29254
Q1559591	12148
Q1572803	17597
Q1572997	11980
Q1584941	39243
Q1586687	29125
Q1587872	26373
Q1590249	28591
Q1594955	29708
Q1595481	29597
Q1596378	22577
Q1602061	16762
Q1614236	14751
Q1620492	16979
Q16240789	19530
Q1631062	29193
Q1653113	18952
Q1665442	18906
