ID	Commonscat
26215	Dreieinigkeitskirche (Hamburg-Allermöhe)
29732	Allermöher Deich 105
27673	Allermöher Deich 445
27669	Fährstein (Hamburg-Allermöhe)
26213	Cemetery of Hamburg-Allermöhe
27674	Moorfleeter Deich 359
27668	Moorfleeter Deich 408
25179	Schleusengraben (Bergedorf)
29593	Altes Krematorium Hamburg-Alsterdorf
21301	Feuerwache Alsterdorf
20313	Martin-Luther-Kirche (Hamburg-Alsterdorf)
29597	Heilwig-Gymnasium
27461	Dove Elbe
25977	Schule Altengamme-Deich
25974	St. Nicolai (Hamburg-Altengamme)
25982	Kirchenstegel 20
11766	St. Gertrud-Kirche (Hamburg-Altenwerder)
15219	St.-Johannis-Kirche (Altona)
29237	Thedebad
30215	Christuskirche Altona
30302	Altes Allgemeines Krankenhaus Altona
16832	Jenckelhaus
15466	Hospitalstraße 107 (Hamburg)
16117	Hospitalstraße 109 (Hamburg)
16158	Jüdischer Friedhof (Altona)
26143	Tiefbunker Louise-Schroeder-Straße 21
17456	Max-Brauer-Allee 134
15620	Max-Brauer-Allee 136
43771	Sternbrücke (Hamburg)
16141	Stuhlmannbrunnen
16123	Altonaer Rathaus
39121	Black Form – Dedicated to the Missing Jews (Sol LeWitt)
43773	Sternbrücke (Hamburg)
15590	Schule Thadenstraße
15588	Thedestraße 39
16429	Thedestraße 97, 99
15242	Thedestraße 101
15606	Virchowstraße 50 (Hamburg)
16430	Virchowstraße 80 (Hamburg)
15759	Theodor-Haubach-Schule (Hamburg)
13404	Kirche der Stille (vorm. Christophorus-Kirche; Hamburg-Altona-Nord)
13384	Gymnasium Allee (Hamburg)
16762	Helenenstift (Hamburg)
30476	Proviantamt Bahrenfeld
17836	Proviantamt Bahrenfeld
17833	Proviantamt Bahrenfeld
30447	Siedlung Woyrschweg
29470	Jugendkirche (Hamburg-Bahrenfeld)
29469	Paul-Gerhardt-Kirche (Hamburg-Bahrenfeld)
30512	Otto von Bahrenpark
17706	Friedhof Altona
30518	Lutherkirche (Hamburg-Bahrenfeld)
11763	Lutherhaus (Hamburg-Bahrenfeld)
17801	Lutherkirche (Hamburg-Bahrenfeld)
17708	Schule Mendelssohnstraße
29509	Friedhof Groß Flottbek
30820	Siedlung Adlerstraße / Dohlenweg / Lämmersieth / Wachtelstraße
22936	Hochbunker Bramfelder Straße 96
30819	Schule Fraenkelstraße
22933	Schule Fraenkelstraße
21263	Schule Fraenkelstraße
22547	Schule Genslerstraße
30950	Walddörferbahnviadukt
