?item	?itemLabel	?coordLabel
<http://www.wikidata.org/entity/Q98637485>	"ABC-Bogen"@de	"Point(9.986283333 53.553744444)"
<http://www.wikidata.org/entity/Q294799>	"AMD Akademie Mode & Design"@de	"Point(10.00036111 53.56708333)"
<http://www.wikidata.org/entity/Q295927>	"AOK-Gebäude (Borgfelde)"@de	"Point(10.03895833 53.55756944)"
<http://www.wikidata.org/entity/Q99361401>	"ASTOR Film Lounge HafenCity"@de	"Point(9.995496 53.54337)"
<http://www.wikidata.org/entity/Q55835342>	"AStA der TUHH"@de	"Point(9.968472222 53.462944444)"
<http://www.wikidata.org/entity/Q305682>	"Abaton"@de	"Point(9.98194444 53.56777778)"
<http://www.wikidata.org/entity/Q16318311>	"Abendschule vor dem Holstentor"@de	"Point(9.97724 53.55784)"
<http://www.wikidata.org/entity/Q336153>	"Abwasser- und Sielmuseum"@de	"Point(9.96388889 53.54611111)"
<http://www.wikidata.org/entity/Q360602>	"Adolf-Jäger-Kampfbahn"@de	"Point(9.91138889 53.55527778)"
<http://www.wikidata.org/entity/Q65894156>	"Adolph-Diesterweg-Schule"@de	"Point(10.148305555 53.487027777)"
<http://www.wikidata.org/entity/Q83633421>	"Adolph-Schönfelder-Schule"@de	"Point(10.04752 53.57803)"
<http://www.wikidata.org/entity/Q28337710>	"Adolphsbrücke"@de	"Point(9.989669444 53.550666666)"
<http://www.wikidata.org/entity/Q315050>	"Afghanisches Museum Hamburg"@de	"Point(9.98944444 53.54333333)"
<http://www.wikidata.org/entity/Q1622155>	"Akademie der Polizei Hamburg"@de	"Point(10.00061 53.60244)"
<http://www.wikidata.org/entity/Q414150>	"Akademie der Wissenschaften in Hamburg"@de	"Point(9.9882 53.562597)"
<http://www.wikidata.org/entity/Q51912>	"Al-Quds-Moschee Hamburg"@de	"Point(10.01944444 53.55694444)"
<http://www.wikidata.org/entity/Q34378630>	"Alabama Kino"@de	"Point(10.02069 53.58318)"
<http://www.wikidata.org/entity/Q34378644>	"Aladin Filmtheater"@de	"Point(9.96191 53.54919)"
<http://www.wikidata.org/entity/Q2637460>	"Albert-Schweitzer-Gymnasium"@de	"Point(10.03027778 53.62833333)"
<http://www.wikidata.org/entity/Q78670034>	"Albert-Schweitzer-Schule"@de	"Point(10.04783 53.63258)"
<http://www.wikidata.org/entity/Q34561228>	"Albrecht-Thaer-Gymnasium"@de	"Point(9.92512 53.60046)"
<http://www.wikidata.org/entity/Q2641613>	"Alexander-von-Humboldt-Gymnasium"@de	"Point(9.99275 53.43867)"
<http://www.wikidata.org/entity/Q18286166>	"Algenhaus"@de	"Point(10.001334 53.496714)"
<http://www.wikidata.org/entity/Q1275609>	"Allee-Theater"@de	"Point(9.94194444 53.55472222)"
<http://www.wikidata.org/entity/Q114289178>	"Allegorische Figur"@de	"Point(10.11609 53.53831)"
<http://www.wikidata.org/entity/Q112277937>	"Allende-Platz 1"@de	"Point(9.98225 53.56725)"
<http://www.wikidata.org/entity/Q2648548>	"Allerheiligenkirche"@de	"Point(9.87082 53.48048)"
<http://www.wikidata.org/entity/Q61858605>	"Allermöhe"@de	"Point(10.139694444 53.474738888)"
<http://www.wikidata.org/entity/Q2376>	"Allermöhe"@de	"Point(10.15 53.483333333)"
<http://www.wikidata.org/entity/Q109715078>	"Allermöher Deich 445"@de	"Point(10.17661 53.46837)"
<http://www.wikidata.org/entity/Q24325779>	"Allermöher See"@de	"Point(10.1625 53.480277777)"
<http://www.wikidata.org/entity/Q28172563>	"Allermöher Wiesen"@de	"Point(10.130277777 53.488888888)"
<http://www.wikidata.org/entity/Q1555234>	"Alma Hoppe"@de	"Point(9.99266667 53.59305556)"
<http://www.wikidata.org/entity/Q1219>	"Alster"@de	"Point(9.9837 53.5445)"
<http://www.wikidata.org/entity/Q1219>	"Alster"@de	"Point(10.0048 53.7636)"
<http://www.wikidata.org/entity/Q2651485>	"Alster-Beste-Kanal"@de	"Point(10.229028 53.801489)"
<http://www.wikidata.org/entity/Q17353344>	"Alsterburg"@de	"Point(9.99222183 53.55027771)"
<http://www.wikidata.org/entity/Q1167>	"Alsterdorf"@de	"Point(10.0 53.6)"
<http://www.wikidata.org/entity/Q2651496>	"Alsterfontäne"@de	"Point(9.99495278 53.55461667)"
<http://www.wikidata.org/entity/Q1632185>	"Alsterring-Gymnasium"@de	"Point(10.04834 53.59711)"
<http://www.wikidata.org/entity/Q2651512>	"Alstertal"@de	"Point(10.07638889 53.64861111)"
<http://www.wikidata.org/entity/Q1314255>	"Alstertal-Einkaufszentrum"@de	"Point(10.09083333 53.65444444)"
<http://www.wikidata.org/entity/Q2651515>	"Alstertal-Museum"@de	"Point(10.07305556 53.64333333)"
<http://www.wikidata.org/entity/Q110151777>	"Alsterufer 27, 28"@de	"Point(9.99703 53.56214)"
<http://www.wikidata.org/entity/Q111111669>	"Altan Hotel"@de	"Point(9.9634752 53.5587621)"
<http://www.wikidata.org/entity/Q108429115>	"Altbau der Geschwister-Scholl-Schule"@de	"Point(9.85629 53.5909)"
<http://www.wikidata.org/entity/Q107762039>	"Altbau der Staats- und Universitätsbibliothek Hamburg"@de	"Point(9.98521 53.56424)"
<http://www.wikidata.org/entity/Q58808006>	"Alte Harburger Elbbrücke"@de	"Point(9.99497 53.47345)"
<http://www.wikidata.org/entity/Q11905165>	"Alte Kollau"@de	"Point(9.956703 53.607353)"
<http://www.wikidata.org/entity/Q436055>	"Alte Oberfinanzdirektion (Hamburg)"@de	"Point(9.98630556 53.54861111)"
<http://www.wikidata.org/entity/Q19259073>	"Alte Oberpostdirektion"@de	"Point(9.9873 53.55752)"
<http://www.wikidata.org/entity/Q103483289>	"Alte Osterbek"@de	"Point(10.087778 53.597594)"
<http://www.wikidata.org/entity/Q436110>	"Alte Post (Hamburg)"@de	"Point(9.99083333 53.55194444)"
<http://www.wikidata.org/entity/Q106640704>	"Alte Schule Billwerder"@de	"Point(10.15971 53.50621)"
<http://www.wikidata.org/entity/Q106086537>	"Alte Schule Cranz"@de	"Point(9.78011 53.53551)"
<http://www.wikidata.org/entity/Q109593398>	"Alte Schule Reitbrook"@de	"Point(10.14798 53.46771)"
<http://www.wikidata.org/entity/Q76307211>	"Alte Sudpfanne"@de	"Point(9.9689948 53.5465393)"
<http://www.wikidata.org/entity/Q16830357>	"Alte Süderelbe"@de	"Point(9.85 53.51666667)"
<http://www.wikidata.org/entity/Q109614236>	"Alten- und Pflegeheim Talita Kum"@de	"Point(10.22283 53.4453)"
<http://www.wikidata.org/entity/Q61858607>	"Altengamme"@de	"Point(10.292302777 53.430236111)"
<http://www.wikidata.org/entity/Q2380>	"Altengamme"@de	"Point(10.2625 53.424722222)"
<http://www.wikidata.org/entity/Q3456>	"Altenwerder"@de	"Point(9.917906 53.506832)"
<http://www.wikidata.org/entity/Q437844>	"Alter Elbpark"@de	"Point(9.97222222 53.54833333)"
<http://www.wikidata.org/entity/Q18616186>	"Alter Friedhof Harburg"@de	"Point(9.98111111 53.45777778)"
<http://www.wikidata.org/entity/Q43812915>	"Alter Friedhof Wandsbek"@de	"Point(10.068888888 53.578333333)"
<http://www.wikidata.org/entity/Q437953>	"Alter Hammer Friedhof"@de	"Point(10.05713889 53.55591667)"
<http://www.wikidata.org/entity/Q98936639>	"Alter Jaarsmoorgraben"@de	"Point(9.908552 53.605124)"
<http://www.wikidata.org/entity/Q21561366>	"Alter Leuchtturm Pagensand-Süd"@de	"Point(9.91458 53.54405)"
<http://www.wikidata.org/entity/Q438118>	"Alter Niendorfer Friedhof"@de	"Point(9.94972222 53.61611111)"
<http://www.wikidata.org/entity/Q14552143>	"Alter Schwede"@de	"Point(9.895631 53.544588)"
<http://www.wikidata.org/entity/Q112183792>	"Alter Wall 38"@de	"Point(9.98957 53.55017)"
<http://www.wikidata.org/entity/Q439137>	"Altes Bavaria-Gelände"@de	"Point(9.964645 53.547618)"
<http://www.wikidata.org/entity/Q439225>	"Altes Hafenamt Hamburg"@de	"Point(9.99557222 53.54152778)"
<http://www.wikidata.org/entity/Q47504016>	"Altes Krematorium"@de	"Point(10.027638888 53.618527777)"
<http://www.wikidata.org/entity/Q375953>	"Altes Land"@de	"Point(9.66667 53.5333)"
<http://www.wikidata.org/entity/Q86440647>	"Altes Rathaus Altona"@de	"Point(9.952222 53.549167)"
<http://www.wikidata.org/entity/Q26951150>	"Altes Zollhaus"@de	"Point(10.00333 53.54484)"
<http://www.wikidata.org/entity/Q60540092>	"Altmannbrücke"@de	"Point(10.007777777 53.550277777)"
<http://www.wikidata.org/entity/Q27530903>	"Altona"@de	"Point(9.9472 53.5489)"
<http://www.wikidata.org/entity/Q98949476>	"Altona (Fischmarkt)"@de	"Point(9.95217 53.54403)"
<http://www.wikidata.org/entity/Q1591>	"Altona-Altstadt"@de	"Point(9.947777777 53.548888888)"
<http://www.wikidata.org/entity/Q1587>	"Altona-Nord"@de	"Point(9.945277777 53.563055555)"
<http://www.wikidata.org/entity/Q61858304>	"Altona-Südwest, Ottensen, Othmarschen, Klein Flottbek, Nienstedten, Dockenhuden, Blankenese, Rissen"@de	"Point(9.756330555 53.566338888)"
<http://www.wikidata.org/entity/Q1383885>	"Altonaer Bahnwasserturm"@de	"Point(9.93488889 53.56019444)"
<http://www.wikidata.org/entity/Q443975>	"Altonaer Balkon"@de	"Point(9.93545833 53.54535556)"
<http://www.wikidata.org/entity/Q444003>	"Altonaer Blutsonntag"@de	"Point(9.953 53.5517)"
<http://www.wikidata.org/entity/Q443985>	"Altonaer Eruv"@de	"Point(9.950536 53.54784)"
<http://www.wikidata.org/entity/Q444010>	"Altonaer Hafenbahn"@de	"Point(9.93583333 53.54666667)"
<http://www.wikidata.org/entity/Q67080057>	"Altonaer Holzhafen"@de	"Point(9.945911 53.544107)"
<http://www.wikidata.org/entity/Q27478664>	"Altonaer Kaispeicher"@de	"Point(9.926494 53.54419)"
<http://www.wikidata.org/entity/Q26156624>	"Altonaer Kinderkrankenhaus"@de	"Point(9.91348056 53.55287278)"
<http://www.wikidata.org/entity/Q444014>	"Altonaer Meridian"@de	"Point(9.94233333 53.54719444)"
<http://www.wikidata.org/entity/Q444038>	"Altonaer Stadion"@de	"Point(9.8991535 53.5876645)"
<http://www.wikidata.org/entity/Q444049>	"Altonaer Theater"@de	"Point(9.93436667 53.54896389)"
<http://www.wikidata.org/entity/Q107446173>	"Am Baum 1"@de	"Point(10.21851 53.4878)"
<http://www.wikidata.org/entity/Q451352>	"Am Lohsepark"@de	"Point(10.00479 53.54214)"
<http://www.wikidata.org/entity/Q3398930>	"Am Rothenbaum"@de	"Point(9.991667 53.573703)"
<http://www.wikidata.org/entity/Q96376285>	"Am Sandtorkai 1"@de	"Point(9.996341 53.544054)"
<http://www.wikidata.org/entity/Q110413539>	"Amalie-Dietrich-Haus"@de	"Point(9.98504 53.56927)"
<http://www.wikidata.org/entity/Q30266969>	"Amedes"@de	"Point(10.001221 53.551411)"
<http://www.wikidata.org/entity/Q108013586>	"Amerigo-Vespucci-Platz"@de	"Point(10.021269444 53.536552777)"
<http://www.wikidata.org/entity/Q28738595>	"Amerikazentrum Hamburg e.V., Bibliothek"@de	"Point(9.99476 53.54296)"
<http://www.wikidata.org/entity/Q11905356>	"Ammersbek"@de	"Point(10.11946 53.7055)"
<http://www.wikidata.org/entity/Q480732>	"Amtsgericht Hamburg"@de	"Point(9.97666667 53.55583333)"
<http://www.wikidata.org/entity/Q480733>	"Amtsgericht Hamburg-Altona"@de	"Point(9.94333333 53.55611111)"
<http://www.wikidata.org/entity/Q480736>	"Amtsgericht Hamburg-Barmbek"@de	"Point(10.02944444 53.58111111)"
<http://www.wikidata.org/entity/Q480735>	"Amtsgericht Hamburg-Bergedorf"@de	"Point(10.21027778 53.49027778)"
<http://www.wikidata.org/entity/Q108935321>	"An der Falkenbek 8"@de	"Point(9.86172 53.47039)"
<http://www.wikidata.org/entity/Q76308669>	"Andreas Hansen Brunnen"@de	"Point(9.8238643 53.5583272)"
<http://www.wikidata.org/entity/Q22940214>	"Anglo-German Club"@de	"Point(9.99908 53.57824)"
<http://www.wikidata.org/entity/Q11905669>	"Annenfleet"@de	"Point(10.169306 53.471803)"
<http://www.wikidata.org/entity/Q11905669>	"Annenfleet"@de	"Point(10.180592 53.485797)"
<http://www.wikidata.org/entity/Q104902154>	"Annenstraße 3"@de	"Point(9.96374 53.55407)"
<http://www.wikidata.org/entity/Q17487970>	"Anschlussstelle Hamburg-Billstedt"@de	"Point(10.133286111 53.527386111)"
<http://www.wikidata.org/entity/Q16068735>	"Anschlussstelle Hamburg-Georgswerder"@de	"Point(10.016044444 53.517455555)"
<http://www.wikidata.org/entity/Q15868529>	"Anschlussstelle Hamburg-Moorfleet"@de	"Point(10.090711111 53.508155555)"
<http://www.wikidata.org/entity/Q13567074>	"Anschlussstelle Hamburg-Neuallemöhe"@de	"Point(10.14945 53.48098)"
<http://www.wikidata.org/entity/Q14848792>	"Anschlussstelle Hamburg-Rothenburgsort"@de	"Point(10.03129 53.53832)"
<http://www.wikidata.org/entity/Q98608629>	"Ansgarkirche (Hamburg-Othmarschen)"@de	"Point(9.90821 53.54959)"
<http://www.wikidata.org/entity/Q76307936>	"Antje-Brunnen"@de	"Point(10.0920665 53.6527359)"
<http://www.wikidata.org/entity/Q109008225>	"Anton-Rée-Schule Allermöhe"@de	"Point(10.17368 53.4818)"
<http://www.wikidata.org/entity/Q606373>	"Antonipark"@de	"Point(9.95783333 53.54633333)"
<http://www.wikidata.org/entity/Q627411>	"Arbeitserziehungslager Hamburg Langer Morgen"@de	"Point(9.96194444 53.50222222)"
<http://www.wikidata.org/entity/Q627507>	"Arbeitsgemeinschaft Geesthachter Eisenbahn"@de	"Point(10.365 53.43388889)"
<http://www.wikidata.org/entity/Q627794>	"Arbeitsgericht Hamburg"@de	"Point(10.03268889 53.58416667)"
<http://www.wikidata.org/entity/Q630433>	"Arboretum Lohbrügge"@de	"Point(10.19916667 53.50388889)"
<http://www.wikidata.org/entity/Q111111663>	"Arcade-Hostel"@de	"Point(9.9302195 53.5903086)"
<http://www.wikidata.org/entity/Q19259586>	"Architekturfragmente des Hamburg Museums"@de	"Point(9.984816 53.550907)"
<http://www.wikidata.org/entity/Q635521>	"Archiv Aktiv"@de	"Point(10.0314283 53.5509438)"
<http://www.wikidata.org/entity/Q636803>	"Archäologischer Wanderpfad in der Fischbeker Heide"@de	"Point(9.85145 53.44035)"
<http://www.wikidata.org/entity/Q28777879>	"Archäologisches Museum Hamburg - Stadtmuseum Harburg - Helms-Museum, Bibliothek"@de	"Point(9.97737 53.45902)"
<http://www.wikidata.org/entity/Q636943>	"Archäologisches Museum Hamburg und Stadtmuseum Harburg"@de	"Point(9.9772 53.4591)"
<http://www.wikidata.org/entity/Q111111659>	"Arena Hostel Hamburg"@de	"Point(9.903462 53.5958553)"
<http://www.wikidata.org/entity/Q732015>	"Asklepios Klinik Altona"@de	"Point(9.90271759 53.55434036)"
<http://www.wikidata.org/entity/Q732023>	"Asklepios Klinik Barmbek"@de	"Point(10.036853 53.605815)"
<http://www.wikidata.org/entity/Q732041>	"Asklepios Klinik Nord"@de	"Point(10.007301 53.672215)"
<http://www.wikidata.org/entity/Q732056>	"Asklepios Klinik St. Georg"@de	"Point(10.01802 53.559049)"
<http://www.wikidata.org/entity/Q732061>	"Asklepios Klinik Wandsbek"@de	"Point(10.088453 53.569921)"
<http://www.wikidata.org/entity/Q732030>	"Asklepios Klinikum Harburg"@de	"Point(9.949247 53.460393)"
<http://www.wikidata.org/entity/Q28738235>	"Asklepios Medical School"@de	"Point(10.01978 53.55862)"
<http://www.wikidata.org/entity/Q28738587>	"Asklepios Medical School, Bibliothek / Medienzentrum"@de	"Point(10.01982 53.55863)"
<http://www.wikidata.org/entity/Q732086>	"Asklepios Westklinikum Hamburg"@de	"Point(9.777424 53.5821953)"
<http://www.wikidata.org/entity/Q28738590>	"Asklepios Westklinikum Hamburg, Ärztliche Bibliothek"@de	"Point(9.7766 53.58259)"
<http://www.wikidata.org/entity/Q34378662>	"Astoria Kino"@de	"Point(10.01997 53.57668)"
<http://www.wikidata.org/entity/Q60747297>	"Astra-Bowlingbahn"@de	"Point(9.96825 53.54987)"
<http://www.wikidata.org/entity/Q90803484>	"Astra-Turm"@de	"Point(9.96533 53.547388)"
<http://www.wikidata.org/entity/Q15051574>	"Athabaska-Ufer"@de	"Point(9.913359 53.539504)"
<http://www.wikidata.org/entity/Q15041844>	"Atlantic-Haus"@de	"Point(9.967357 53.547605)"
<http://www.wikidata.org/entity/Q596976>	"Atoll"@de	"Point(10.073288888 53.513602777)"
<http://www.wikidata.org/entity/Q32291808>	"Aue"@de	"Point(9.883333333 53.533333333)"
<http://www.wikidata.org/entity/Q759120>	"Auenlandschaft Obere Tideelbe"@de	"Point(10.05 53.498611111)"
<http://www.wikidata.org/entity/Q106558963>	"Aueschule Finkenwerder"@de	"Point(9.88513 53.52766)"
<http://www.wikidata.org/entity/Q759617>	"Auferstehungskirche"@de	"Point(10.05194444 53.59194444)"
<http://www.wikidata.org/entity/Q90669617>	"August-Hermann-Francke-Schule Bahrenfeld"@de	"Point(9.9077 53.56194)"
<http://www.wikidata.org/entity/Q107411958>	"August-Hermann-Francke-Schule Bergedorf"@de	"Point(10.20101 53.48278)"
<http://www.wikidata.org/entity/Q94304450>	"August-Hermann-Francke-Schule Berne"@de	"Point(10.13334 53.62896)"
<http://www.wikidata.org/entity/Q101246779>	"August-Hermann-Francke-Schule Farmsen"@de	"Point(10.11409 53.61493)"
<http://www.wikidata.org/entity/Q83489240>	"August-Hermann-Francke-Schule Uhlenhorst"@de	"Point(10.0287 53.57319)"
<http://www.wikidata.org/entity/Q18410459>	"Augustinum Hamburg"@de	"Point(9.917049 53.543878)"
<http://www.wikidata.org/entity/Q777866>	"Ausbesserungswerk Hamburg-Harburg"@de	"Point(9.99361111 53.46083333)"
<http://www.wikidata.org/entity/Q100741724>	"Ausschläger Elbdeich 3"@de	"Point(10.044380555 53.5301)"
<http://www.wikidata.org/entity/Q2603671>	"Autobahndreieck Hamburg-Nordwest"@de	"Point(9.91262 53.61633)"
<http://www.wikidata.org/entity/Q2798681>	"Autobahndreieck Hamburg-Südost"@de	"Point(10.0789 53.50737)"
<http://www.wikidata.org/entity/Q51064130>	"Autobahndreieck Norderelbe"@de	"Point(10.036111111 53.508611111)"
<http://www.wikidata.org/entity/Q2479854>	"Autobahnkreuz Hamburg-Ost"@de	"Point(10.16693 53.56157)"
<http://www.wikidata.org/entity/Q2139109>	"Autobahnkreuz Hamburg-Süd"@de	"Point(10.038611111 53.508388888)"
<http://www.wikidata.org/entity/Q34378680>	"Autokino Billbrook"@de	"Point(10.09129 53.52341)"
<http://www.wikidata.org/entity/Q3392985>	"Außenalster"@de	"Point(10.01 53.565)"
