Item	Bezeichnung	ist ein	lat	lon	Straße
Q98637485	ABC-Bogen	Bauwerk	53.553744	9.986283	
Q294799	AMD Akademie Mode & Design	Schule	53.567083	10.000361	
Q295927	AOK-Gebäude (Borgfelde)	Bürogebäude	53.557569	10.038958	
Q99361401	ASTOR Film Lounge HafenCity	Bauwerk	53.543370	9.995496	
Q55835342	AStA der TUHH	Allgemeiner Studierendenausschuss	53.462944	9.968472	Am Schwarzenberg-Campus 3 (E), 21073 Hamburg
Q305682	Abaton	Kino	53.567778	9.981944	Grindelhof, Allendeplatz 3, 20146 Hamburg
Q16318311	Abendschule vor dem Holstentor	Schule	53.557840	9.977240	Holstenglacis 6
Q336153	Abwasser- und Sielmuseum	Museum	53.546111	9.963889	
Q360602	Adolf-Jäger-Kampfbahn	Fußballstadion	53.555278	9.911389	
Q65894156	Adolph-Diesterweg-Schule	Grundschule	53.487028	10.148306	
Q83633421	Adolph-Schönfelder-Schule	Grundschule	53.578030	10.047520	Zeisigstraße 3
Q28337710	Adolphsbrücke	Straße	53.550667	9.989669	
Q315050	Afghanisches Museum Hamburg	Museum	53.543333	9.989444	
Q1622155	Akademie der Polizei Hamburg	Fachhochschule	53.602440	10.000610	
Q414150	Akademie der Wissenschaften in Hamburg	Akademie der Wissenschaften	53.562597	9.988200	
Q51912	Al-Quds-Moschee Hamburg	Moschee	53.556944	10.019444	
Q34378630	Alabama Kino	Kino	53.583180	10.020690	Kampnagel, Jarrestraße 20, 22303 Hamburg
Q34378644	Aladin Filmtheater	Kino	53.549190	9.961910	Reeperbahn 89 – 93, 20359 Hamburg
Q2637460	Albert-Schweitzer-Gymnasium	Gymnasium	53.628333	10.030278	Struckholt 27
Q78670034	Albert-Schweitzer-Schule	Grundschule	53.632580	10.047830	
Q34561228	Albrecht-Thaer-Gymnasium	Gymnasium	53.600460	9.925120	Wegenkamp 3, 22527 Hamburg
Q2641613	Alexander-von-Humboldt-Gymnasium	Gymnasium	53.438670	9.992750	
