ID	Adresse
18245	Lastropsweg o.Nr.
18398	Schanzenstraße o.Nr.
18401	Högenstraße o.Nr.
18401	Högenstraße o.Nr. südlich von Nr. 60
18406	Högenstraße o.Nr.
18432	Högenstraße o.Nr.
18432	Högenstraße o.Nr. auf der Straßenmitte vor Nr. 54b
18433	Högenstraße o.Nr.
18434	Högenstraße o.Nr.
18434	Högenstraße o.Nr. westlich von Nr. 50
18435	Högenstraße o.Nr.
18435	Högenstraße o.Nr. westlich von Nr. 50
18440	Högenstraße o.Nr.
18658	
18780	Oberstraße o.Nr. vor der ehem. Synagoge Oberstraße (heute Sendesaal des NDR)
19391	Kollaustraße o.Nr.
19404	Elbgaustraße o.Nr.
19526	Grindelhof 89
19542	Strecke der U-Bahnlinie U1
19543	Isestraße o.Nr.
19590	Strecke der U-Bahnlinie U3
19641	Oberstraße o.Nr. gegenüber von Nr. 56
19652	Streekbrücke o.Nr.
19679	Innocentiastraße o.Nr.
19877	Hagenbeckstraße o.Nr.
19950	Elsastraße o.Nr. nördl. von Nr. 46
20056	Oberstraße 16a
20065	Oberstraße 14a
20065	Oberstraße 14b
20065	Oberstraße 14c
20077	Oberstraße 18a
20077	Oberstraße 18b
20077	Oberstraße 18c
20077	Oberstraße 18d
20127	Maxstraße o.Nr.
20245	Heider Straße 1a
20319	Brabandstraße o.Nr.
20942	Grasweg 6a
20943	Grasweg 6a
21082	Alsterdorfer Straße o.Nr.
21083	Alsterdorfer Straße o.Nr.
21224	Hellbrookstraßenbrücke o.Nr.
21404	Sengelmannstraße o.Nr.
21441	Barmbeker Straße o.Nr.
21802	Hudtwalckerstraße o.Nr.
21867	Körnerstraßenbrücke o.Nr.
21912	Maria-Louisen-Straße o.Nr.
21976	Saarlandstraße o.Nr. östlich der Straße
21999	Sierichstraße o.Nr.
22237	Richardstraßenbrücke o.Nr.
22289	Alfredstraßenbrücke o.Nr.
22318	Wohldorfer Straße o.Nr.
22321	Marschnerstraße o.Nr.
22322	Wagnerstraße o.Nr.
22323	Volksdorfer Straße o.Nr.
22556	Fuhlsbüttler Straße o.Nr.
22586	Wohldorfer Straße o.Nr. westlich von Nr. 30
22587	Wohldorfer Straße o.Nr. westlich von Nr. 30
22904	Straßburger Platz o.Nr.
22905	Straßburger Platz 6a
22941	Adlerstraße o.Nr.
23197	Hellbrookstraße o.Nr.
23197	Hufnerstraße o.Nr.
23212	Krausestraße o.Nr.
23212	Krausestraßenbrücke o.Nr.
23244	Ahrensburger Straße o.Nr. auf der Höhe von Nr. 57
23250	Kirchhofstraße o.Nr.
23253	Kedenburgstraße o.Nr. (neben Nr. 012)
23254	Ahrensburger Straße o.Nr. an der Ecke Eichtalstraße
23293	Hellbrookstraße o.Nr.
23308	Hamburger Straße o.Nr.
23348	St. Jürgenstraße 5
23348	St. Jürgenstraße 7
23349	St. Jürgenstraße 11
23349	St. Jürgenstraße 9
23350	St. Jürgenstraße 13
23350	St. Jürgenstraße 15
23351	St. Jürgenstraße 17
23351	St. Jürgenstraße 19
23352	St. Jürgenstraße 2
23352	St. Jürgenstraße 4
23353	St. Jürgenstraße 6
23353	St. Jürgenstraße 8
23354	St. Jürgenstraße 10
23354	St. Jürgenstraße 12
23355	St. Jürgenstraße 14
23355	St. Jürgenstraße 16
23356	St. Jürgenstraße 18
23356	St. Jürgenstraße 20
23357	St. Jürgenstraße 22
23357	St. Jürgenstraße 24
23488	Hellbrookstraße o.Nr.
23962	Wellingsbütteler Landstraße 230u
24244	Hufnerstraße o.Nr. Ecke Wiesendamm
24346	
24550	Schloßstraße o.Nr.
24552	Ahrensburger Straße o.Nr. auf der Höhe von Nr. 57
24554	Ahrensburger Straße o.Nr. auf der Höhe von Nr. 39
24625	St. Jürgenstraße 1
24625	St. Jürgenstraße 3
24983	St. Jürgenstraße 26
24983	St. Jürgenstraße 28
24984	St. Jürgenstraße 30
24984	St. Jürgenstraße 32
24985	St. Jürgenstraße 34
24985	St. Jürgenstraße 36
24986	St. Jürgenstraße 38
25179	Bergedorfer Straße o.Nr.
26371	Kaistraße o.Nr.
26507	Rahlstedter Straße o.Nr. bei Nr. 110
26510	Oldenfelder Straße o.Nr.
26787	Bremer Straße o.Nr.
26800	Friedhofstraße o.Nr.
27138	Diekkamp 43
27232	Wentorfer Straße 27
27441	Saseler Straße 7a
27441	Saseler Straße 7b
27441	Saseler Straße 7c
27442	Meiendorfer Straße o.Nr.
27445	Ringstraße o.Nr. am Waldrand nördlich von Nr. 217
27449	Rahlstedter Straße o.Nr. neben Nr. 110
27467	1. Hafenstraße 14
27525	Bremer Straße 15a
27535	Bremer Straße o.Nr. vor Nr. 9, Ecke Maretstr.
27747	
27831	Schwarzenbergstraße o.Nr.
27834	Schwarzenbergstraße o.Nr.
27836	Schwarzenbergstraße o.Nr.
27837	Schwarzenbergstraße o.Nr.
27840	Schwarzenbergstraße o.Nr.
27843	
27874	Bremer Straße o.Nr.
27874	Brunsstraße o.Nr.
27874	Harmsstraße o.Nr.
27875	Bremer Straße o.Nr.
27876	Bremer Straße o.Nr.
27906	Schwarzenbergstraße o.Nr.
27907	Schwarzenbergstraße o.Nr.
27971	Lamprechtstraße 6
28131	Borgfelder Straße o.Nr.
28141	Baererstraße 14a
28591	Parkstraße 61a
28594	Eulenkrugstraße o.Nr.
28674	Fuhlsbüttler Straße o.Nr.
28675	Fuhlsbüttler Straße o.Nr.
28680	Luisenstraße o.Nr. Südende der Luisenstraße bei Nr. 19
28686	Langenfelder Straße o.Nr.
29051	Marktstraße 5
29239	Hoher Weg 1a
29241	Bernadottestraße o.Nr.
29245	Klopstockstraße o.Nr.
29262	Heideweg 15a
29292	Klosterwall 2
29541	Oberstraße o.Nr.
29637	Jenfelder Straße o.Nr.
29703	Alte Dorfstraße o.Nr. gegenüber von Nr. 29
29740	Altengammer Hauptdeich 98
29831	Neuländer Straße o.Nr.
29853	
29938	Rathaus
29941	Strecke der U-Bahnlinie U3 Mönkedamm / Rödingsmarkt
29949	Strecke der U-Bahnlinie U3 Baumwall / Landungsbrücken
29963	Annenstraße / Hein-Hoyer-Straße
29964	Annenstraße / Clemens-Schultz- Straße / Detlev-Bremer-Straße
29966	Beckstraße / Neuer Pferdemarkt
29970	Deichstraße / Willy-Brandt-Straße / Steintwiete
29972	ABC-Straße / Neue ABC-Straße
29994	Bleicherstraße / Paul-Roosen-Straße
29995	Bleicherstraße / Otzenstraße
29999	Paulinenstraße / Budapester Straße
30005	Kaiser-Wilhelm-Straße / Kornträgergang / Neustädter Straße
30011	Martin-Luther-Straße / Thielickestieg / Wincklerstraße
30021	Davidstraße / Reeperbahn
30022	Davidstraße / Hopfenstraße
30024	Feldstraße 44, 45
30043	Langenfelder Straße / Oelkers Allee
30045	Gerichtstraße / Vereinsweg / Haubachstraße
30049	Gerichtstraße / Goetheallee / Haubachstraße / Löfflerstraße
30052	Friedrichstraße / Hans-Albers-Platz
30065	Kampstraße 6-12, 16-22
30070	Lagerstraße / Schanzenstraße / Sternstraße
30078	Schanzenstraße / Schulterblatt
30085	Talstraße 11-21, 25, 29
30147	Eimsbütteler Straße / Langenfelder Straße / Paulinenallee
30224	Zeißstraße / Abbestraße / Nernstweg
30227	Bahrenfelder Straße / Barner Straße / Zeißstraße
30229	Bahrenfelder Straße / Bergiusstraße / Friedensallee
30244	Juliusstraße / Stresemannstraße
30246	Schillerstraße / Schmarjestraße
30248	Antonistraße / Hamburger Hochstraße / Hein-Köllisch-Platz / Lange Straße
30253	Lange Straße 18-22, 19, 23
30259	Lornsenstraße / Lornsenplatz / Schomburgstraße
30273	Eimsbütteler Straße / Glücksburger Straße / Langenfelder Straße / Ophagen / Stenvort
30274	Övelgönner Straße / Stenvort
30277	Gerichtstraße / Julius-Leber-Straße
30284	Mottenburger Straße / Nöltingstraße / Ottenser Hauptstraße / Rothestraße
30288	Arnoldstraße / Bernadottestraße / Fischers Allee / Große Brunnenstraße
30289	Eulenstraße / Fischers Allee / Holstentwiete
30291	Eulenstraße / Rothestraße / Große Brunnenstraße / Keplerstraße
30292	Eulenstraße / Große Brunnenstraße / Keplerstraße
30301	Behnstraße / Königstraße
30303	Bernadottestraße / Hohenzollernring
30304	Bernadottestraße / Fischers Allee
30314	Boninstraße / Holländische Reihe / Prahlstraße
30340	Eulenstraße / Mottenburger Straße / Mottenburger Twiete
30341	Bahrenfelder Straße / Klausstraße / Mottenburger Twiete
30342	Bahrenfelder Straße / Ottenser Hauptstraße / Große Rainstraße
30352	Eulenstraße / Kleine Brunnenstraße
30358	Daimlerstraße / Friedensallee
30387	Holstenstraße / Suttnerstraße
30397	Bernadottestraße / Tönsfeldtstraße
30454	Parkstraße 25, 28- 34
30455	Parkstraße 40, 42
30456	Parkstraße 35, 36
30529	Beselerstraße / Beselerplatz / Bellmannstraße / Dürerstraße
