ID	Adresse	Geogr. Br.	Geogr. Lg.
11753	Kaistraße o.Nr.|Max-Brauer-Allee o.Nr.|Palmaille o.Nr.|Paul-Nevermann-Platz o.Nr.|Präsident-Krahn-Straße o.Nr.	53.548897	9.934495
11761	Falkensteiner Ufer  o.Nr., gegenüber von Nr. 42	53.56154	9.780739
11766	Altenwerder Querweg o.Nr.	53.506132	9.917665
11767	Hohenwischer Straße o.Nr.	53.508489	9.874868
11771	Neumühlen o.Nr. am Museumshafen Övelgönne östlich der Brücke zum Anleger	53.544004	9.916161
11772	Friedrich-Kirsten-Straße o.Nr.	53.64291	10.07768
11773	Rabenhorst o.Nr.	53.641471	10.084284
11775	Maakenwerder Höft o.Nr.	53.538638	9.925866
11777	Bei dem Neuen Krahn o.Nr.	53.54471	9.988508
11853	Heiligengeistbrücke o.Nr.	53.548974	9.986043
11855	Hohe Brücke o.Nr.	53.544891	9.987486
11856	Holzbrücke o.Nr.	53.546551	9.989095
11857	Hopfenmarkt o.Nr.	53.547648	9.99017
11858	Hopfenmarkt o.Nr.|Neue Burg o.Nr.|Willy-Brandt-Straße o.Nr.|Wölberstieg o.Nr.	53.547525	9.991121
11867	Jungfernbrücke o.Nr.	53.545278	9.994914
11886	Kornhausbrücke o.Nr.	53.546047	9.997098
11926	Alsterarkaden o.Nr.	53.552013	9.992638
11955	Am Elbpavillon o.Nr.|Helgoländer Allee o.Nr.	53.548699	9.972055
11980	Kleine Alster|Rathausmarkt o.Nr.	53.551539	9.99238
11981	Reesendammbrücke o.Nr.	53.552291	9.994023
11991	Thielickestieg o.Nr.	53.547563	9.97958
11996	Dammtorwall o.Nr. vor Nr. 15	53.556427	9.983478
12020	Stephansplatz o.Nr. am Eingang zum Alten Botanischen Garten	53.558447	9.988638
12021	Caffamacherreihe o.Nr. gegenüber von Nr. 8|Speckstraße o.Nr.	53.55483	9.983055
12023	Dammtordamm o.Nr. südlich von Nr. 2|Stephansplatz o.Nr.	53.558816	9.989045
12024	Holstenwall o.Nr. neben Nr. 24	53.551578	9.973317
12032	Schanzenstraße o.Nr. südöstlich von Nr. 5/ 7	53.559942	9.964469
12056	Domstraße o.Nr. am Rand des Binnenhafens, östlich der Zollenbrücke	53.547714	9.993872
12058	Schleusenbrücke o.Nr.	53.551486	9.991791
12063	Schaarsteinwegsbrücke o.Nr.	53.54596	9.981982
12064	Deichstraße o.Nr. vor Nr. 24/ 26/ 28	53.546388	9.987303
12065	Heuberg o.Nr. auf der Platzfläche	53.552366	9.98699
12067	Rathausmarkt o.Nr.	53.550458	9.99364
12068	Deichstraße o.Nr. vor Nr. 24	53.54671	9.987905
12070	Trostbrücke o.Nr.	53.548086	9.992301
12071	Trostbrücke o.Nr.	53.54818	9.992181
12086	Kehrwiedersteg o.Nr.	53.54338	9.987043
12091	Brook o.Nr.|Neuer Wandrahm o.Nr.	53.544853	9.994784
12093	Englische Planke o.Nr.|Krayenkamp o.Nr.|Ludwig-Erhard-Straße o.Nr.	53.548398	9.978897
12097	Dammtordamm o.Nr.|Gorch-Fock-Wall o.Nr.|Jungiusstraße o.Nr.|Marseiller Straße o.Nr.	53.559431	9.986637
12114	Michaelisstraße o.Nr. neben Nr. 3	53.549115	9.983043
12141	Mönkedamm 14	53.549152	9.988964
12142	Neß 1	53.548733	9.992954
12162	Am Brunnenhof o.Nr. südlich der Kirche	53.555359	9.958839
