Stadtteil	Bezirk
"Allermöhe"	"Bergedorf"
"Alsterdorf"	"Hamburg-Nord"
"Altengamme"	"Bergedorf"
"Altenwerder"	"Harburg"
"Altona-Altstadt"	"Altona"
"Altona-Nord"	"Altona"
"Bahrenfeld"	"Altona"
"Barmbek-Nord"	"Hamburg-Nord"
"Barmbek-Süd"	"Hamburg-Nord"
"Bergedorf"	"Bergedorf"
"Bergstedt"	"Wandsbek"
"Billbrook"	"Hamburg-Mitte"
"Billstedt"	"Hamburg-Mitte"
"Billwerder"	"Bergedorf"
"Blankenese"	"Altona"
"Borgfelde"	"Hamburg-Mitte"
"Bramfeld"	"Wandsbek"
"Cranz"	"Harburg"
"Curslack"	"Bergedorf"
"Dulsberg"	"Hamburg-Nord"
"Duvenstedt"	"Wandsbek"
"Eidelstedt"	"Eimsbüttel"
"Eilbek"	"Wandsbek"
"Eimsbüttel"	"Eimsbüttel"
"Eißendorf"	"Harburg"
"Eppendorf"	"Hamburg-Nord"
"Farmsen-Berne"	"Wandsbek"
"Finkenwerder"	"Hamburg-Mitte"
"Francop"	"Harburg"
"Fuhlsbüttel"	"Hamburg-Nord"
"Groß Borstel"	"Hamburg-Nord"
"Groß Flottbek"	"Altona"
"Gut Moor"	"Harburg"
"HafenCity"	"Hamburg-Mitte"
"Hamburg-Altstadt"	"Hamburg-Mitte"
"Hamburg-Neustadt"	"Hamburg-Mitte"
"Hamm"	"Hamburg-Mitte"
"Hammerbrook"	"Hamburg-Mitte"
"Harburg"	"Harburg"
"Harvestehude"	"Eimsbüttel"
"Hausbruch"	"Harburg"
"Heimfeld"	"Harburg"
"Hoheluft-Ost"	"Hamburg-Nord"
"Hoheluft-West"	"Eimsbüttel"
"Hohenfelde"	"Hamburg-Nord"
"Horn"	"Hamburg-Mitte"
"Hummelsbüttel"	"Wandsbek"
"Iserbrook"	"Altona"
"Jenfeld"	"Wandsbek"
"Kirchwerder"	"Bergedorf"
"Kleiner Grasbrook"	"Hamburg-Mitte"
"Klostertor"	"Hamburg-Mitte"
"Langenbek"	"Harburg"
"Langenhorn"	"Hamburg-Nord"
"Lemsahl-Mellingstedt"	"Wandsbek"
"Lohbrügge"	"Bergedorf"
"Lokstedt"	"Eimsbüttel"
"Lurup"	"Altona"
"Marienthal"	"Wandsbek"
"Marmstorf"	"Harburg"
"Moorburg"	"Harburg"
"Moorfleet"	"Bergedorf"
"Neuallermöhe"	"Bergedorf"
"Neuenfelde"	"Harburg"
"Neuengamme"	"Bergedorf"
"Neugraben-Fischbek"	"Harburg"
"Neuland"	"Harburg"
"Neuwerk"	"Hamburg-Mitte"
"Niendorf"	"Eimsbüttel"
"Nienstedten"	"Altona"
"Oberbillwerder"	"Bergedorf"
"Ochsenwerder"	"Bergedorf"
"Ohlsdorf"	"Hamburg-Nord"
"Osdorf"	"Altona"
"Othmarschen"	"Altona"
"Ottensen"	"Altona"
"Poppenbüttel"	"Wandsbek"
"Rahlstedt"	"Wandsbek"
"Reitbrook"	"Bergedorf"
"Rissen"	"Altona"
"Rothenburgsort"	"Hamburg-Mitte"
"Rotherbaum"	"Eimsbüttel"
"Rönneburg"	"Harburg"
"Sasel"	"Wandsbek"
"Schnelsen"	"Eimsbüttel"
"Sinstorf"	"Harburg"
"Spadenland"	"Bergedorf"
"St. Georg"	"Hamburg-Mitte"
"St. Pauli"	"Hamburg-Mitte"
"Steilshoop"	"Wandsbek"
"Steinwerder"	"Hamburg-Mitte"
"Stellingen"	"Eimsbüttel"
"Sternschanze"	"Altona"
"Sülldorf"	"Altona"
"Tatenberg"	"Bergedorf"
"Tonndorf"	"Wandsbek"
"Uhlenhorst"	"Hamburg-Nord"
"Veddel"	"Hamburg-Mitte"
"Volksdorf"	"Wandsbek"
"Waltershof"	"Hamburg-Mitte"
"Wandsbek"	"Wandsbek"
"Wellingsbüttel"	"Wandsbek"
"Wilhelmsburg"	"Hamburg-Mitte"
"Wilstorf"	"Harburg"
"Winterhude"	"Hamburg-Nord"
"Wohldorf-Ohlstedt"	"Wandsbek"
