Typ	Wikidata	Wikidata	Wikidata	Wikidata	Wikidata
Arbeiterwohnhaus	Q11755880				
Arbeiterwohnhaus/Reihenhaus (Typ "Instenhaus")	Q11755881				
Arbeitsamt	Q627329	Q294422			
Bahnbrücke	Q1210334				
Bahnbrücke (S-Bahn)	Q1210334				
Bahnbrücke (U-Bahn)	Q1210335				
Bahnhof (U-Bahn)	Q98094452				
Bahnhof; Bahnsteig	Q98094452	Q325358			
Bahnhofsgebäude	Q98094452				
Bahnviadukt (U-Bahn)	Q1210334				
Bankgebäude	Q18761864				
Bauernhaus	Q489357				
Brücke	Q12280				
Brunnen	Q43483				
Bunkerhaus	Q91122				
Bürogebäude	Q1021645				
Bürogebäude/Wohngebäude/Hochhaus	Q1021645	Q11755880	Q18142		
Bürohaus	Q1021645				
Deich	Q105190				
Denkmal	Q5003624				
Denkmalanlage	Q5003624				
Dienstwohngebäude (Offizierswohnungen)	Q11755880				
Doppelhaus	Q6453233				
Doppelwohnhaus	Q6453233				
Einfamilienhaus	Q1307276				
Einfamilienhaus (Doppelhaus)	Q6453233				
Einfamilienhaus (Doppelhaushälfte)	Q6453233				
Einfamilienhaus (Reihenhaus gehobener Standard)	Q875016				
Einfamilienhaus (Reihenhaus, Typ Teppich-Siedlung)	Q875016				
Einfamilienhaus (vororttypischer gehobener Zuschnitt)	Q1307276				
Einfamilienhaus; Vorgarten	Q1307276				
Einfamilienreihenhaus	Q875016				
Einfriedung	Q1307347				
Etagengeschäftshaus	Q655686				
Etagenhaus	Q11755880				
Etagenhaus (Hamburger Burg)	Q11755880	Q1572977			
Etagenhaus (Hinterhaus, Wohnpassage)	Q11755880				
Etagenhaus (mit Laden im Keller)	Q11755880				
Etagenhaus (mit Laden)	Q11755880				
Etagenhaus (mit Läden)	Q11755880				
Etagenhaus (Vorderhaus)	Q11755880				
Etagenhaus (Vorderhaus, Wohnpassage)	Q11755880				
Etagenhaus (Vorderhaus, Wohnterrasse)	Q11755880	Q2588111			
Etagenhaus (Wohn- und Geschäftshaus)	Q11755880				
Etagenhaus (Wohngeschäftshaus)	Q11755880	Q655686			
Etagenhaus mit Vorgarten	Q11755880				
Etagenwohnhaus	Q11755880				
Fabrikanlage	Q1662011				
Fabrikgebäude	Q1662011				
Fabrikkomplex	Q1662011				
Feuerwache	Q1195942				
Fischerhaus	Q41176				
Freiplastik	Q350268				
Friedhof	Q39614				
Friedhofskapelle	Q1457501				
Garage	Q22733				
Garten	Q1107656				
Gasthaus	Q5526694				
Gebäude	Q41176				
Gebäude (Hofbebauung, Hinterhaus)	Q41176				
Gedenkstein	Q11734477				
Gefängnis	Q40357				
Gemeindehaus	Q1500615				
Gemeindezentrum	Q1500615				
Geschäftshaus	Q655686				
Geschosswohnungsbau	Q11755880				
Glockenturm	Q200334				
Grabmal	Q56055312				
Grabsteine	Q56055312				
Grenzstein	Q921099				
Grenzstein (Forst- und Ämterstein)	Q921099				
Grünanlage	Q22652				
Gutshaus	Q879050				
Hausgarten	Q114794860				
Hofanlage	Q58148376				
Hofanlage <Wohnwirtschaftsgebäude; Scheune>	Q58148376				
Hofbebauung	Q58148376				
Hufnerhaus	Q11755880				
Kanal	Q12284				
Kanal/Fleet	Q12284				
Kate	Q11755880				
Kindergarten	Q126807				
Kinderheim	Q53033847				
Kirche	Q16970				
Kirchengebäude	Q16970				
Kirchturm	Q72926449				
Kontorhaus	Q1783234				
Kran	Q178692				
Krankenhaus	Q16917				
Krankenhausgebäude	Q16917				
Kriegerdenkmal	Q575759				
Kriegerdenkmal (Kriegerdenkmal 1870/ 71)	Q575759				
Kriegerdenkmal (Kriegerdenkmal 1914/ 18 und 1939/ 45)	Q575759				
Kriegerdenkmal (Kriegerdenkmal 1914/ 18)	Q575759				
Lagerhaus	Q181623				
Landhaus	Q16884952				
Lehrgebäude	Q3914				
Leuchtturm	Q39715				
Litfaßsäule	Q13964				
Markthalle	Q2080521				
Mausoleum	Q162875				
Mehrfamilienhaus	Q1498804				
Mehrfamilienhaus (Doppelhaus)	Q6453233				
Mehrfamilienhaus (mit Gaststätte und Laden)	Q1498804	Q62602544	Q213441		
Mehrfamilienhaus (mit Laden)	Q1498804				
Mehrfamilienhaus (mit Laden, vermutl.)	Q1498804				
Mehrfamilienhaus (Siedlungsbau der 1920er/ 1930er Jahre)	Q1498804				
Mehrfamilienhaus (Siedlungsbau der 1930er Jahre)	Q1498804				
Mehrfamilienhaus (Siedlungsbau der 1930er Jahre); Garage	Q1498804				
Mehrfamilienhaus (Siedlungsbau); Zubehör (in Umgebung des Gebäudes, darunter Grünflächen, Einfriedungen, Wege)	Q1498804	Q1307347			
Mehrfamilienhaus (Wohnterrasse)	Q1498804	Q2588111			
Mehrfamilienhaus/ Beamtenwohnhaus (Doppelhaus)	Q6453233				
Mehrfamilienhaus/Beamtenwohnhaus	Q1498804				
Mehrfamilienhaus; Einfriedung	Q1498804	Q1307347			
Mehrfamilienhaus; Werkstattgebäude	Q1498804				
Mühlengebäude	Q56822897				
Munitionsbunker	Q98094452				
Nebengebäude	Q41176				
Park	Q22698				
Pastorat	Q607241				
Pastorat/ Gemeindehaus	Q607241				
Pavillon	Q276173				
Pflaster	Q3328263				
Pförtnerhaus	Q18759150				
Plastik	Q1078913				
Polizeiwache	Q861951				
Postgebäude	Q35054				
Reihenhaus	Q875016				
Reihenhaus (Reihenmietshaus, Wohnterrasse)	Q875016	Q2588111			
