Typ	Wikidata	Wikidata	Wikidata	Wikidata
    Kreuze (Gruppen aus jeweils drei Kreuzen); Tafeln (zwei Tafeln mit Namen der Gefallenen); Findling>				
Abspannwerk				
Allee	Q207934			
Allee; Eingangsgebäude; Hoffläche; Landhaus; Tor	Q207934			
Altenheim	Q22908			
Altenheim; Pflegeheim	Q22908			
Altenteiler	Q11755880			
Altenteiler (Kate)	Q11755880			
Altenteiler/ Kate	Q11755880			
Altenteiler; Windbäume (vor dem Haus)	Q11755880			
Ämterstein (Amt der Reeper)				
Amtshaus; Garten; Friedhof	Q11755880			
Apartmenthaus	Q11755880			
Apotheke (Handwerkerhaus)	Q13107184	Q58403020		
Apothekeneinrichtung (wandfeste Ausstattung, bewegliches Inventar und Offizin)	Q13107184			
Arbeiterwohnhaus	Q11755880			
Arbeiterwohnhaus (Instenhaus)	Q11755880			
Arbeiterwohnhaus/Reihenhaus (Landarbeiterhäuserzeile, Typ "Langer Jammer")	Q11755880			
Arbeiterwohnhaus/Reihenhaus (Typ "Instenhaus")	Q11755880			
Arbeitsamt	Q627329	Q294422		
Arena {Theater (nach Umnutzung)}	Q47162123			
Arkadengang				
Armenhaus	Q11755880			
Atelier	Q47162123			
Atelierhaus; Garten; Vorgarten	Q47162123			
Ausgangsbauwerke (U-Bahn)				
Außenanlagen				
Außenanlagen (vor dem Hauptgebäude, mit Auffahrt); Pavillon; Einfriedung		Q1307347	Q276173	
Außenanlagen/ Ausstattung im Außenraum <Portal; Gefallenendenkmal; weitere künstlerische Ausstattung; Unterstand (nordöstl.); Treppen; Leuchten; umgebende gepflasterte bzw. gärtnerisch gestaltete Flächen; Böschungen; Sportplatz (östl.)>		Q3328263		
Automobilhalle	Q47162123			
Badeanstalt	Q17521458			
Badeanstalt (Hallenbad); Filterhaus	Q17521458			
Badeanstalt {Atelier- und Bürogebäude (nach Umnutzung)}	Q17521458			
Badeanstalt; Einfriedung	Q17521458	Q1307347		
Bahnanlage; Krananlage; Schuppen	Q47162123	Q178692		
Bahnbetriebsgebäude	Q39917125			
Bahnbetriebsgebäude (Lagerhaus)	Q39917125			
Bahnbetriebshof	Q39917125			
Bahnbetriebshof (S-Bahn)	Q39917125			
Bahnbetriebshof (U-Bahn)	Q39917125			
Bahnbetriebswerk <Betriebsgebäude; Werkstattgebäude; Pförtnerhaus>	Q39917125			
Bahnbrücke	Q1210334			
