ID	PLZ	Adresse
11752	20255	Lutterothstraße 98
11758	22149	Kielkoppelstraße 51
11759	22159	Zum Gutspark 2
11760	22587	Falkensteiner Ufer 42
11762	22587	Süllbergsweg 7
11763	22761	Lutherhöhe 22
11764	22525	Stadionstraße 7
11765	22587	Falkenstein 1
11770	22587	Falkenstein 3
11774	22391	Up de Worth 23
11776	20457	Bei dem Neuen Krahn 2
11778	20457	Bei den Mühren 66
11779	20457	Bei den Mühren 69
11780	20457	Bei den Mühren 69a
11781	20457	Bei den Mühren 70
11782	20457	Bei den Mühren 88
11783	20457	Börsenbrücke 5
11783	20457	Börsenbrücke 7
11784	20457	Börsenbrücke 2a
11785	20457	Brandstwiete 3
11786	20457	Brandstwiete 32
11786	20457	Brandstwiete 34
11786	20457	Brandstwiete 36
11786	20457	Brandstwiete 38
11786	20457	Willy-Brandt-Straße 43
11787	20457	Brandstwiete 42
11787	20457	Brandstwiete 44
11788	20457	Brandstwiete 46
11789	20457	Brandstwiete 50
11790	20457	Brandstwiete 54
11790	20457	Brandstwiete 58
11790	20457	Brandstwiete 60
11790	20457	Zippelhaus 7
11791	20457	Brodschrangen 1
11791	20457	Brodschrangen 3
11791	20095	Rolandsbrücke 2
11792	20457	Brodschrangen 15
11792	20457	Große Reichenstraße 2
11793	20457	Brook 1
11793	20457	Brook 2
11793	20457	Pickhuben 2
11793	20457	Pickhuben 4
11793	20457	Pickhuben 6
11795	20457	Brook 3
11796	20457	Brook 4
11797	20457	Brook 5
11798	20457	Brook 6
11799	20457	Brook 7
11800	20457	Brook 8
11801	20457	Brook 9
11802	20095	Bugenhagenstraße 5
11803	20095	Burchardstraße 19
11803	20095	Burchardstraße 21
11804	20095	Burchardstraße 16
11804	20095	Mohlenhofstraße 10
11804	20095	Mohlenhofstraße 6
11804	20095	Mohlenhofstraße 8
11805	20095	Burchardstraße 18
11805	20095	Burchardstraße 18a
11805	20095	Burchardstraße 20
11808	20457	Cremon 33
11809	20457	Cremon 34
11810	20457	Cremon 35
11811	20457	Cremon 36
11812	20095	Curienstraße 1
11812	20095	Kattrepel 14
11812	20095	Speersort 1
11813	20457	Osakaallee 12
11814	20459	Deichstraße 19
11815	20459	Deichstraße 21
